word,pronunciation,meaning
theme,/θiːm/,"명 (topic) 주제, 논제,테마 
명 (music: motif) (음악) 테마, 주요소 "
carnivorous,/kɑːˈnɪvərəs/,"형 (meat-eating) 육식의, 육식성의, 고기를 먹는 "
sustenance,/ˈsʌstənəns/,"명 (nourishment) 음식물, 영양물, 자양물 "
nourish,/ˈnʌrɪʃ/,"동(타) (physically: give food to) 영양분을 주다 
동(타) figurative (mentally: feed) (비유적으로) 품게 하다, 조장하다 "
dune,/ˈpɛrɪʃ/,"동(자) (die) 죽다, 목숨을 잃다, 비명에 가다 
동(자) (be destroyed) 멸망하다, 무너지다, 붕괴하다 "
dwindling,/ˈdwɪndlɪŋ/,"형 (diminishing) 줄어드는, 감소하는 
형 (crowd: thinning) (군중) 줄어드는, 감소하는 
형 (feeling: lessening) (감정) 누그러진, 풀어진 "
poacher,/ˈpəʊtʃə/,"명 (illegal hunter) 밀렵사냥꾼 
명 (device: egg cooker) (기기) 수란짜, 찜통 "
hasten,/ˈheɪsən/,"동(타) (hurry) (속도를) 빠르게 하다, 재촉 (독촉)하다, 앞당기다 
동(타) (make come sooner) 서두르게 하다, 빨리 하다,  급히~하게 하다 "
precipitate,/prɪˈsɪpɪˌteɪt/,"동(타) (hasten, bring about faster) 서두르다, 재촉하다 
형 (quick, done without thought) 빠른, (생각없이) 돌진하는 "
perilous,/ˈpɛrɪləs/,"형 (dangerous, risky) 위험한 "
jeopardy,/ˈdʒɛpədɪ/,"명 (at risk) 위험 "
quarry,/ˈkwɒrɪ/,"명 (open pit) 채석장 
명  원천, 보고 "
sanctuary,/ˈsæŋktjʊərɪ/,"명 (sacred place) 신성한 장소 
명 (place of refuge) 피신처, 은신처 
명 figurative (for [sb]: quiet place) (비유적으로) 안식처 "
tenure,/ˈtɛnjʊə/,"명 (time in position) 재임시간 
명 US (university) (대학교수의) 종신 재직권 "
disdain,/dɪsˈdeɪn/,"명 (contempt) 경멸 
동(타) (treat with contempt) 경멸하다 
동(타) (consider unworthy) 가치가 없다고 생각하다 "
